2020-09-23 21:17:12 UTC,30.90,59.00,905.00,76.00,551.00
2020-09-23 21:17:32 UTC,30.90,59.00,915.00,78.00,546.00
2020-09-23 21:17:52 UTC,30.90,59.00,915.00,78.00,549.00
2020-09-23 21:18:12 UTC,30.90,59.00,915.00,78.00,548.00
2020-09-23 21:18:32 UTC,30.90,59.00,915.00,78.00,549.00
2020-09-23 21:18:52 UTC,30.90,59.00,915.00,78.00,555.00
2020-09-23 21:19:12 UTC,30.90,59.00,915.00,78.00,556.00
2020-09-23 21:19:32 UTC,30.90,59.00,905.00,76.00,558.00
2020-09-23 21:19:52 UTC,30.90,59.00,930.00,80.00,560.00
2020-09-23 21:20:13 UTC,30.90,59.00,942.00,82.00,565.00
2020-09-23 21:20:33 UTC,30.90,59.00,942.00,82.00,569.00
2020-09-23 21:20:53 UTC,30.90,59.00,930.00,80.00,570.00
2020-09-23 21:21:13 UTC,30.90,59.00,915.00,78.00,570.00
2020-09-23 21:21:33 UTC,30.90,59.00,905.00,76.00,572.00
2020-09-23 21:21:53 UTC,30.90,59.00,915.00,78.00,574.00
2020-09-23 21:22:13 UTC,30.90,59.00,905.00,76.00,573.00
2020-09-23 21:22:33 UTC,30.90,59.00,895.00,75.00,573.00
2020-09-23 21:22:53 UTC,30.90,59.00,895.00,75.00,571.00
2020-09-23 21:23:13 UTC,30.90,59.00,895.00,75.00,572.00
2020-09-23 21:23:33 UTC,30.90,59.00,885.00,73.00,570.00
2020-09-23 21:23:53 UTC,30.90,59.00,905.00,76.00,565.00
2020-09-23 21:24:13 UTC,30.90,59.00,905.00,76.00,561.00
2020-09-23 21:24:33 UTC,30.90,59.00,905.00,76.00,556.00
2020-09-23 21:24:53 UTC,30.90,59.00,895.00,75.00,546.00
2020-09-23 21:25:13 UTC,30.90,59.00,905.00,76.00,545.00
2020-09-23 21:25:33 UTC,30.90,59.00,905.00,76.00,549.00
2020-09-23 21:25:54 UTC,30.90,59.00,895.00,75.00,547.00
2020-09-23 21:26:14 UTC,30.90,59.00,905.00,76.00,543.00
2020-09-23 21:26:34 UTC,30.90,59.00,905.00,76.00,544.00
2020-09-23 21:26:54 UTC,30.90,59.00,915.00,78.00,542.00
2020-09-23 21:27:14 UTC,30.90,59.00,915.00,78.00,544.00
2020-09-23 21:27:34 UTC,30.80,59.00,930.00,80.00,541.00
2020-09-23 21:27:54 UTC,30.90,59.00,915.00,78.00,537.00
2020-09-23 21:28:14 UTC,30.90,59.00,905.00,76.00,536.00
2020-09-23 21:28:34 UTC,30.90,59.00,885.00,73.00,535.00
2020-09-23 21:28:54 UTC,30.90,59.00,885.00,73.00,535.00
2020-09-23 21:29:14 UTC,30.90,59.00,885.00,73.00,536.00
2020-09-23 21:29:34 UTC,30.90,59.00,848.00,68.00,537.00
2020-09-23 21:29:54 UTC,30.90,59.00,825.00,64.00,535.00
2020-09-23 21:30:14 UTC,30.90,59.00,815.00,63.00,535.00
2020-09-23 21:30:34 UTC,30.90,59.00,825.00,64.00,537.00
2020-09-23 21:30:54 UTC,30.90,59.00,825.00,64.00,535.00
2020-09-23 21:31:15 UTC,30.80,59.00,825.00,64.00,531.00
2020-09-23 21:31:35 UTC,30.90,59.00,834.00,66.00,527.00
2020-09-23 21:31:55 UTC,30.90,59.00,848.00,68.00,529.00
2020-09-23 21:32:15 UTC,30.90,59.00,885.00,73.00,530.00
2020-09-23 21:32:35 UTC,30.90,59.00,895.00,75.00,528.00
2020-09-23 21:32:55 UTC,30.80,59.00,942.00,82.00,526.00
2020-09-23 21:33:17 UTC,30.90,59.00,992.00,90.00,524.00
2020-09-23 21:33:35 UTC,30.90,59.00,1004.00,92.00,524.00
2020-09-23 21:33:55 UTC,30.80,59.00,1019.00,94.00,523.00
2020-09-23 21:34:15 UTC,30.80,59.00,1038.00,97.00,523.00
2020-09-23 21:34:35 UTC,30.80,59.00,1038.00,97.00,524.00
2020-09-23 21:34:55 UTC,30.80,59.00,1053.00,99.00,530.00
2020-09-23 21:35:15 UTC,30.80,59.00,1068.00,101.00,530.00
2020-09-23 21:35:35 UTC,30.80,59.00,1093.00,105.00,525.00
2020-09-23 21:35:55 UTC,30.80,59.00,1081.00,103.00,524.00
2020-09-23 21:36:15 UTC,30.80,59.00,1081.00,103.00,524.00
2020-09-23 21:36:35 UTC,30.80,59.00,1081.00,103.00,526.00
2020-09-23 21:36:56 UTC,30.80,59.00,1081.00,103.00,528.00
2020-09-23 21:37:16 UTC,30.80,59.00,1081.00,103.00,530.00
2020-09-23 21:37:36 UTC,30.80,59.00,1081.00,103.00,531.00
2020-09-23 21:37:56 UTC,30.80,59.00,1081.00,103.00,528.00
2020-09-23 21:38:16 UTC,30.80,59.00,1068.00,101.00,524.00
2020-09-23 21:38:36 UTC,30.80,59.00,1068.00,101.00,522.00
2020-09-23 21:38:56 UTC,30.80,59.00,1068.00,101.00,522.00
2020-09-23 21:39:16 UTC,30.80,59.00,1081.00,103.00,520.00
2020-09-23 21:39:36 UTC,30.90,59.00,1081.00,103.00,521.00
2020-09-23 21:39:56 UTC,30.90,59.00,1068.00,101.00,515.00
2020-09-23 21:40:16 UTC,30.90,59.00,1068.00,101.00,508.00
2020-09-23 21:40:36 UTC,30.90,59.00,1068.00,101.00,503.00
2020-09-23 21:40:56 UTC,30.80,59.00,1068.00,101.00,501.00
2020-09-23 21:41:16 UTC,30.80,59.00,1081.00,103.00,500.00
2020-09-23 21:41:36 UTC,30.90,59.00,1093.00,105.00,497.00
2020-09-23 21:41:56 UTC,30.90,59.00,1093.00,105.00,501.00
2020-09-23 21:42:17 UTC,30.90,59.00,1110.00,108.00,504.00
2020-09-23 21:42:37 UTC,31.00,60.00,1128.00,110.00,505.00
2020-09-23 21:42:57 UTC,31.00,60.00,1128.00,110.00,503.00
2020-09-23 21:43:17 UTC,30.90,59.00,1140.00,112.00,504.00
2020-09-23 21:43:37 UTC,31.00,60.00,1140.00,112.00,505.00
2020-09-23 21:43:57 UTC,31.00,60.00,1128.00,110.00,505.00
2020-09-23 21:44:17 UTC,31.00,60.00,1128.00,110.00,507.00
2020-09-23 21:44:37 UTC,31.00,60.00,1128.00,110.00,506.00
2020-09-23 21:44:57 UTC,31.00,60.00,1140.00,112.00,506.00
2020-09-23 21:45:17 UTC,31.00,60.00,1140.00,112.00,501.00
2020-09-23 21:45:37 UTC,31.00,60.00,1093.00,105.00,500.00
2020-09-23 21:45:57 UTC,31.00,60.00,1110.00,108.00,503.00
2020-09-23 21:46:17 UTC,30.90,59.00,1093.00,105.00,507.00
2020-09-23 21:46:37 UTC,30.90,59.00,1081.00,103.00,515.00
2020-09-23 21:46:57 UTC,30.90,59.00,1068.00,101.00,517.00
2020-09-23 21:47:17 UTC,30.90,59.00,1053.00,99.00,516.00
2020-09-23 21:47:37 UTC,30.90,59.00,1019.00,94.00,517.00
2020-09-23 21:47:58 UTC,30.80,59.00,1004.00,92.00,517.00
2020-09-23 21:48:18 UTC,30.90,59.00,992.00,90.00,514.00
2020-09-23 21:48:38 UTC,30.90,59.00,992.00,90.00,509.00
2020-09-23 21:48:58 UTC,30.80,59.00,992.00,90.00,500.00
2020-09-23 21:49:18 UTC,30.80,59.00,977.00,87.00,494.00
2020-09-23 21:49:38 UTC,30.80,59.00,967.00,86.00,493.00
2020-09-23 21:49:58 UTC,30.80,59.00,954.00,84.00,494.00
2020-09-23 21:50:18 UTC,30.80,59.00,954.00,84.00,492.00
